name;recycled;Noms_procedes;carbonimpact;eutrophisation;type;theme;comment;traduction
Acrylique;FALSE;Filament d'acrylique;x;y;matière synthétique;pollution de l'eau;Le lavage des vêtements en matières synthétiques comme le nylon, le polyester, l’acrylique ou l’élasthanne, libère des micro-particules de plastique dans les eaux usées. Ces microparticules ne sont pas dégradées dans les stations d’épuration et finissent dans les océans. C’est la principale source de pollution des océans devant les sacs plastiques.;acrylic
Acrylique;TRUE;Production de fil d'acrylique recycle (recyclage mecanique), traitement de dechets de production textiles, inventaire partiellement agrege;x;y;matière synthétique;pollution de l'eau;Le lavage des vêtements en matières synthétiques comme le nylon, le polyester, l’acrylique ou l’élasthanne, libère des micro-particules de plastique dans les eaux usées. Ces microparticules ne sont pas dégradées dans les stations d’épuration et finissent dans les océans. C’est la principale source de pollution des océans devant les sacs plastiques.;acrylic
Angora;FALSE;Fil d'angora;x;y;matière naturelle animale;bien-être animal;Les animaux élevés pour l’industrie du textile, du cuir et de la fourrure vivent le plus souvent dans des conditions difficiles, dans de petits espaces, sousalimentés et parfois maltraités.;angora
Cachemire;FALSE;Fil de cachemire;x;y;matière naturelle animale;bien-être animal;Les animaux élevés pour l’industrie du textile, du cuir et de la fourrure vivent le plus souvent dans des conditions difficiles, dans de petits espaces, sousalimentés et parfois maltraités.;cashmere
Chanvre;FALSE;Fil de chanvre;x;y;matière naturelle végétale;pollution de l'eau;La culture du chanvre - matière naturelle -  est moins gourmande en eau et en pesticides que le coton par exemple.;hemp
Coton;FALSE;Fil de coton conventionnel, inventaire partiellement agrege;x;y;matière naturelle végétale;pollution de l'eau;La culture du coton nécessite beaucoup d’eau, de soleil et de pesticides. Cela entraîne une pollution agricole et un risque pour la santé des cultivateurs. L’eau est une ressource rare dans certains pays. Lorsque la pluie n’est pas suffisante, on détourne l’eau des rivières, des lacs et des nappes phréatiques pour qu’elle irrigue les champs. Privilégier les vêtements en coton biologique ou en fibres recyclées.;cotton
Coton;TRUE;Production de fil de coton recycle _ Par Defaut;x;y;matière naturelle végétale;pollution de l'eau;La culture du coton nécessite beaucoup d’eau, de soleil et de pesticides. Cela entraîne une pollution agricole et un risque pour la santé des cultivateurs. L’eau est une ressource rare dans certains pays. Lorsque la pluie n’est pas suffisante, on détourne l’eau des rivières, des lacs et des nappes phréatiques pour qu’elle irrigue les champs. Privilégier les vêtements en coton biologique ou en fibres recyclées.;cotton
elasthanne;FALSE;Filament de polyurethane;x;y;matière synthétique;pollution de l'eau;Le lavage des vêtements en matières synthétiques comme le nylon, le polyester, l’acrylique ou l’élasthanne, libère des micro-particules de plastique dans les eaux usées. Ces microparticules ne sont pas dégradées dans les stations d’épuration et finissent dans les océans. C’est la principale source de pollution des océans devant les sacs plastiques.;elastane
Jute;FALSE;Fil de jute;x;y;matière naturelle végétale;jute
Laine;FALSE;Fil de laine de mouton;x;y;matière naturelle animale;bien-être animal;Les animaux élevés pour l’industrie du textile, du cuir et de la fourrure vivent le plus souvent dans des conditions difficiles, dans de petits espaces, sousalimentés et parfois maltraités. On élève parfois des moutons dans des pays trop chauds pour leur peau. Cela peut provoquer des infections douloureuses. Privilégier les marques qui s'engagent.;wool
Laine;TRUE;Production de fil de laine recycle (recyclage mecanique), traitement de dechets de production textiles, inventaire partiellement agrege;x;y;matière naturelle animale;bien-être animal;Les animaux élevés pour l’industrie du textile, du cuir et de la fourrure vivent le plus souvent dans des conditions difficiles, dans de petits espaces, sousalimentés et parfois maltraités. On élève parfois des moutons dans des pays trop chauds pour leur peau. Cela peut provoquer des infections douloureuses. Privilégier les marques qui s'engagent.;wool
Lin;FALSE;Fil de lin (filasse);x;y;matière naturelle végétale;pollution de l'eau;Le lin - matière naturelle - a l’avantage de ne pas nécessiter beaucoup d’eau et d’engrais pour pousser. La France est le premier producteur mondial de lin.;linen
Lycra;FALSE;Filament de polyurethane;x;y;matière synthétique;lycra
Lyocell;FALSE;Filament de viscose;x;y;matière synthétique;impact carbone;La viscose ou le lyocell sont des fibres artificielles obtenues à partir de ressources naturelles comme la cellulose de bois (bambou, eucalyptus, hêtre…), le soja ou le maïs, en utilisant des procédés chimiques.;lyocell
Nylon;FALSE;Filament de polyamide 66;x;y;matière synthétique;pollution de l'eau;Le lavage des vêtements en matières synthétiques comme le nylon, le polyester, l’acrylique ou l’élasthanne, libère des micro-particules de plastique dans les eaux usées. Ces microparticules ne sont pas dégradées dans les stations d’épuration et finissent dans les océans. C’est la principale source de pollution des océans devant les sacs plastiques.;nylon
Polyactide;FALSE;Filament de polylactide;x;y;matière synthétique;pollution de l'eau;Le lavage des vêtements en matières synthétiques comme le nylon, le polyester, l’acrylique ou l’élasthanne, libère des micro-particules de plastique dans les eaux usées. Ces microparticules ne sont pas dégradées dans les stations d’épuration et finissent dans les océans. C’est la principale source de pollution des océans devant les sacs plastiques.;polylactide
Polyamide;FALSE;Filament de polyamide 66;x;y;matière synthétique;pollution de l'eau;Le lavage des vêtements en matières synthétiques comme le nylon, le polyester, l’acrylique ou l’élasthanne, libère des micro-particules de plastique dans les eaux usées. Ces microparticules ne sont pas dégradées dans les stations d’épuration et finissent dans les océans. C’est la principale source de pollution des océans devant les sacs plastiques.;polyamide
Polyamide;TRUE;Production de fil de polyamide recycle (recyclage mecanique), traitement de dechets de production textiles, inventaire partiellement agrege;x;y;matière synthétique;pollution de l'eau;Le lavage des vêtements en matières synthétiques comme le nylon, le polyester, l’acrylique ou l’élasthanne, libère des micro-particules de plastique dans les eaux usées. Ces microparticules ne sont pas dégradées dans les stations d’épuration et finissent dans les océans. C’est la principale source de pollution des océans devant les sacs plastiques.;polyamide
Polyester;FALSE;Filament de polyester, inventaire partiellement agrege;x;y;matière synthétique;pollution de l'eau;Le lavage des vêtements en matières synthétiques comme le nylon, le polyester, l’acrylique ou l’élasthanne, libère des micro-particules de plastique dans les eaux usées. Ces microparticules ne sont pas dégradées dans les stations d’épuration et finissent dans les océans. C’est la principale source de pollution des océans devant les sacs plastiques.;polyester
Polyester;TRUE;Production de filament de polyester recycle _Par Defaut;x;y;matière synthétique;pollution de l'eau;Le lavage des vêtements en matières synthétiques comme le nylon, le polyester, l’acrylique ou l’élasthanne, libère des micro-particules de plastique dans les eaux usées. Ces microparticules ne sont pas dégradées dans les stations d’épuration et finissent dans les océans. C’est la principale source de pollution des océans devant les sacs plastiques.;polyester
Polyethylene;FALSE;Filament de polyethylene;x;y;matière synthétique;pollution de l'eau;Le lavage des vêtements en matières synthétiques comme le nylon, le polyester, l’acrylique ou l’élasthanne, libère des micro-particules de plastique dans les eaux usées. Ces microparticules ne sont pas dégradées dans les stations d’épuration et finissent dans les océans. C’est la principale source de pollution des océans devant les sacs plastiques.;polyethylene
Polypropylene;FALSE;Filament de polypropylene;x;y;matière synthétique;pollution de l'eau;Le lavage des vêtements en matières synthétiques comme le nylon, le polyester, l’acrylique ou l’élasthanne, libère des micro-particules de plastique dans les eaux usées. Ces microparticules ne sont pas dégradées dans les stations d’épuration et finissent dans les océans. C’est la principale source de pollution des océans devant les sacs plastiques.;polypropylene
Polyurethane;FALSE;Filament de polyurethane;x;y;matière synthétique;pollution de l'eau;Le lavage des vêtements en matières synthétiques comme le nylon, le polyester, l’acrylique ou l’élasthanne, libère des micro-particules de plastique dans les eaux usées. Ces microparticules ne sont pas dégradées dans les stations d’épuration et finissent dans les océans. C’est la principale source de pollution des océans devant les sacs plastiques.;polyurethane
Rayonne;FALSE;Filament de viscose;x;y;matière synthétique;impact carbone;La viscose ou le lyocell sont des fibres artificielles obtenues à partir de ressources naturelles comme la cellulose de bois (bambou, eucalyptus, hêtre…), le soja ou le maïs, en utilisant des procédés chimiques.;rayon
Soie;FALSE;Fil de soie;x;y;matière naturelle animale;bien-être animal; Les vers de bombyx de mûrier produisent de la soie avec leur bave pour fabriquer leur cocon. Les animaux élevés pour l’industrie du textile, du cuir et de la fourrure vivent le plus souvent dans des conditions difficiles, dans de petits espaces, sousalimentés et parfois maltraités.;silk
Soie artificielle;FALSE;Filament de viscose;x;y;matière naturelle animale;bien-être animal; Les vers de bombyx de mûrier produisent de la soie avec leur bave pour fabriquer leur cocon. Les animaux élevés pour l’industrie du textile, du cuir et de la fourrure vivent le plus souvent dans des conditions difficiles, dans de petits espaces, sousalimentés et parfois maltraités.;artificial silk
Spandex;FALSE;Filament de polyurethane;x;y;matière synthétique;pollution de l'eau;Le lavage des vêtements en matières synthétiques comme le nylon, le polyester, l’acrylique ou l’élasthanne, libère des micro-particules de plastique dans les eaux usées. Ces microparticules ne sont pas dégradées dans les stations d’épuration et finissent dans les océans. C’est la principale source de pollution des océans devant les sacs plastiques.;spandex
Tencel;FALSE;Filament de viscose;x;y;matière synthétique;impact carbone;La viscose ou le lyocell sont des fibres artificielles obtenues à partir de ressources naturelles comme la cellulose de bois (bambou, eucalyptus, hêtre…), le soja ou le maïs, en utilisant des procédés chimiques.;tencel
Viscose;FALSE;Filament de viscose;x;y;matière synthétique;impact carbone;La viscose ou le lyocell sont des fibres artificielles obtenues à partir de ressources naturelles comme la cellulose de bois (bambou, eucalyptus, hêtre…), le soja ou le maïs, en utilisant des procédés chimiques.;viscose
Viscose;TRUE;Production de fil de viscose recycle (recyclage mecanique), traitement de dechets de production textiles, inventaire partiellement agrege;x;y;matière synthétique;impact carbone;La viscose ou le lyocell sont des fibres artificielles obtenues à partir de ressources naturelles comme la cellulose de bois (bambou, eucalyptus, hêtre…), le soja ou le maïs, en utilisant des procédés chimiques.;viscose
